Crop Inputs Box: [x=0, y=474, w=82, h=421], confidence: 0.83
Crop Inputs Box: [x=0, y=482, w=51, h=408], confidence: 0.52
Crop Inputs Box: [x=0, y=482, w=51, h=408], confidence: 0.52
Crop Inputs Box: [x=0, y=482, w=51, h=408], confidence: 0.52
Crop Inputs Box: [x=0, y=482, w=51, h=408], confidence: 0.52
Crop Inputs Box: [x=0, y=482, w=51, h=408], confidence: 0.52
Crop Inputs Box: [x=0, y=482, w=51, h=408], confidence: 0.52
Crop Inputs Box: [x=0, y=482, w=51, h=408], confidence: 0.52
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=474, w=82, h=421], confidence: 0.83
Crop Inputs Box: [x=0, y=482, w=51, h=408], confidence: 0.52
Crop Inputs Box: [x=0, y=482, w=51, h=408], confidence: 0.52
Crop Inputs Box: [x=0, y=482, w=51, h=408], confidence: 0.52
Crop Inputs Box: [x=0, y=482, w=51, h=408], confidence: 0.52
Crop Inputs Box: [x=0, y=482, w=51, h=408], confidence: 0.52
Crop Inputs Box: [x=0, y=482, w=51, h=408], confidence: 0.52
Crop Inputs Box: [x=0, y=482, w=51, h=408], confidence: 0.52
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
Crop Inputs Box: [x=0, y=503, w=82, h=314], confidence: 0.82
